roi,r,p,metric
7Networks_RH_Limbic_OFC_6,0.37105972953536276,0.2911352562895254,Views
7Networks_RH_Limbic_TempPole_1,0.33019876649528646,0.35142625807742844,Views
7Networks_RH_Limbic_TempPole_2,0.7082271188477719,0.02189901560631618,Views
7Networks_RH_Limbic_TempPole_3,0.5939616829556666,0.0702096617488408,Views
7Networks_RH_Limbic_TempPole_4,0.4435183578527488,0.19917984163622027,Views
7Networks_RH_Limbic_TempPole_5,0.3663957139041004,0.2977165063197295,Views
7Networks_RH_Limbic_TempPole_6,0.586014399771112,0.07502636445700656,Views
7Networks_RH_Limbic_TempPole_7,0.22985666854724102,0.5229225753191445,Views
7Networks_RH_Cont_Par_1,0.3959557629826045,0.2573457845498792,Views
7Networks_RH_Cont_Par_2,0.42131339815914076,0.2252828686422351,Views
7Networks_RH_Cont_Par_3,0.4621888529524937,0.17866436514739514,Views
7Networks_RH_Cont_Par_4,0.5986286630335804,0.06747741532815726,Views
7Networks_RH_Cont_Par_5,0.3827408341523858,0.27499887025954683,Views
7Networks_RH_Cont_Par_6,0.38115690935067115,0.27715776594069425,Views
7Networks_RH_Cont_Temp_1,0.658772686782251,0.03831099329020319,Views
7Networks_RH_Cont_Temp_2,0.48149800503991524,0.15882207717545838,Views
7Networks_RH_Cont_PFCv_1,-0.4358604446867411,0.20797312579658978,Views
7Networks_RH_Cont_PFCl_1,0.3515643488818382,0.3191637701387341,Views
7Networks_RH_Cont_PFCl_2,0.5068942174252069,0.1348385299077657,Views
7Networks_RH_Cont_PFCl_3,0.1419852210690657,0.6955934413068682,Views
7Networks_RH_Cont_PFCl_4,0.049713758057996375,0.8915195241097189,Views
7Networks_RH_Cont_PFCl_5,0.18701345019695526,0.6049179346740936,Views
7Networks_RH_Cont_PFCl_6,0.2853016582679999,0.42426941522093975,Views
7Networks_RH_Cont_PFCl_7,0.057044718498438285,0.8756199499794108,Views
7Networks_RH_Cont_PFCl_8,0.5277157720303328,0.11694368454772425,Views
7Networks_RH_Cont_PFCl_9,0.2752613146660853,0.44145218728090174,Views
7Networks_RH_Cont_PFCl_10,0.20757542135747814,0.5649929741346972,Views
7Networks_RH_Cont_PFCl_11,0.6080342626002704,0.0621843503209999,Views
7Networks_RH_Cont_PFCl_12,0.6218009073273522,0.054941063203027024,Views
7Networks_RH_Cont_PFCl_13,0.34051209932820403,0.3356537888390982,Views
7Networks_RH_Cont_PFCl_14,0.5614784895891589,0.09123148863614436,Views
7Networks_RH_Cont_PFCl_15,0.5556405374253262,0.09539059117375304,Views
7Networks_RH_Cont_pCun_1,-0.11558352443596383,0.7505118657719949,Views
7Networks_RH_Cont_pCun_2,0.3055999011618366,0.3905117026300316,Views
7Networks_RH_Cont_Cing_1,-0.2820563660900977,0.42978883475472884,Views
7Networks_RH_Cont_Cing_2,0.3759122343035816,0.2843716540420618,Views
